name,chords
Youve Got To Hide Your Love Away,"D,A,C,G,D,G,C,G,D,A,C,G,D,G,C,G,A,D,A,C,G,D,G,C,G,D,A,C,G,D,G,C,G,A,D,G,A,D,G,A,D,A,C,G,D,G,C,G,D,A,C,G,D,G,C,G,A,D,A,C,G,D,G,C,G,D,A,C,G,D,G,C,G,A,D,G,A,D,G,A"
Youve Got To Hide Your Love,"G,G6,G,G,D,C/E,G,C,C/E,G,D,C/E,G,C,C/E,D,G,D,G,C,C/E,G,D,G,C,C/E,D,D/C,D/B,D/A,G,C,Dsus4,D,D,G,G6,D,C/E,C,D/C,D/B,D/A,Dsus4"
Youre Going To Lose That Girl,"E,C#m7,F#m7,B7,E,G#7,F#m7,B7,E,G#7,F#m7,B7,B7,E,C#m7,F#m7,B7,B7,E,C#m7,F#m7,B7,B7,F#m7,D,G,C,G,C,F,E,G#7,B7,F#m7,D,G,C,G,C,F,E,G#7,F#m7,B7,E,G#7,F#m7,B7,B7,E,C#m7,F#m7,B7,F#m7,D,A,E"
Your Mother Should Know,"Am,C,A7,Dm,G7,C,A7,Dm,G7,C,Em,Am,C,A7,Dm,G7,C,A7,Dm,G7,C,Am,C,A7,Dm,G7,C,A7,Dm,G7,C,A7,Dm,G7,C,Em,Am,C,A7,Dm,G7,C,A7,Dm,G7,C,A7,Dm,C,A7,Dm,C"
Young Blood,"A,D,A,D,E,A,D,A,D,E,G#,A,G#,A,G,G#,A,G#,A,E,A,D,A,D,E,D,A,D,E,A"
You Wont See Me,"D,A,A,B7,D,A,A,B7,D,A,A7,D,Dm,A,A,B7,D,A,D,A,A,B7,D,A,A,B7,D,A,A7,D,Dm,A,A,B7,D,A,D,A,D6,Dm6,A,B7,E7sus4,E7,A,B7,D,A,A,B7,D,A,A7,D,Dm,A,A,B7,D,A,D,A,D6,Dm6,A,B7,E7sus4,E7,A,B7,D,A,A,B7,D,A,A7,D,Dm,A,A,B7,D,A,D,A,A,B7,D,A"
You Really Got A Hold On Me,"A,F#m,A,F#m,A,F#m,A,A7,D,B7,E7,A,F#m,A,A7,D,A,E7,A,A/F#,F#m,E,A,A,A/F#,F#m,E,A,F#m,A,F#m,A,A6"
What Goes On,"E7,B7,E7,E7,A7,E7,A7,B7sus4,B7,E,E7,Am,E7,Am,B7,E7,B7,E7,A7,E7,A7,B7sus4,B7,E,E7,Am,E7,Am,B7,E7,B7,E7,E7,A7,E7,A7,B7,E7,E7,Am,E7,Am,B7,E7,B7,E7,A7,E7,A7,B7sus4,B7,E,E7, E"
We Can Work It Out,"D,Dsus4,D,Dsus4,C,D,D,Dsus4,D,D,Dsus4,C,D,G,D,G,A,D,Dsus4,D,D,Dsus4,C,D,D,Dsus4,D,D,Dsus4,C,D,G,D,G,A,Bm,Bm/A,G,F#7sus4,F#,Bm,Bm/A,Bm/G,Bm/F#,Bm,Bm/A,G,F#7sus4,F#,Bm,Bm/A,Bm/G,Bm/F#,D,Dsus4,D,Dsus4,C,D,D,Dsus4,D,D,Dsus4,C,D,G,D,G,A,Bm,Bm/A,G,F#7sus4,F#,Bm,Bm/A,Bm/G,Bm/F#,Bm,Bm/A,G,F#7sus4,F#,Bm,Bm/A,Bm/G,Bm/F#,D,Dsus4,D,Dsus4,C,D,D,Dsus4,D,D,Dsus4,C,D,G,D,G,A,D,Dsus4,D,D,Dsus4,C,G,A,Bm,Bm/A,F#7sus4,F#,Bm/G,Bm/F#,G,C,G,G,C,F,G,G,C,G,G,C,F,G,C,G,C,D,G,C,G,G,C,F,G,G,C,G,G,C,F,G,C,G,C,D,Em,Am,B,B,Em,D,C,D,Em,Am,B,B,Em,D,C,D,G,C,G,G,C,F,G,G,C,G,G,C,F,G,C,G,C,D,E,A,D,G,B,E,A,D,G,B,E"
Watching Rainbows,"A,D,A,D,A,D,A,D,A,D,A,D,A,D,A,D,A,D,A,D,A,D,A,D,A,D,A,A,D,A,D,A,D,A,D,A,D,A,D,A,D,A,D,A,A,D,E,A,D,E,A,D,E,A,D,A,D,A,D,E,A,D,E,A,D,E,A,D,E,A,D,A,D,A,D,A,D,A,D,A,D,E"
The Long And Winding Road,"Bm,G,G/D,D,D7,F#m,Em,A,Bm,G/D,D,D7,G,F#m,Bm,Em,A,D,D7,G,F#m,Bm,Em,A,D,Bm,G/D,D,D7,G,G,F#m,Bm,Em,A,D,D7,G,F#m,Bm,Em,A,D,D,G,F#m,Em,A,D,G,F#m,Em,A,Bm,G/D,D,D7,G,F#m,Bm,Em,A,D,D7,G,F#m,Bm,Em,A,D,D,G,F#m,Em,A,D,G,F#m,Em,A,Bm,G/D,D,D7,G,F#m,Bm,Em,Asus4,A,D7,G,F#m,Bm,Em,A,D,Em,A,D"
Shes Leaving Home,"A,Bm,F#m7/B,B9,Bm6,C#m,C#m7,E,F#m,E,E,Bm,F#m,C#m,F#7,F#m7/B,B9,F#m7/B,B9,E,Bm,F#m,C#m,F#7,F#m7/B,B9,F#m7/B,B9,E,E,E,Bm6,C#m,F#7,C#m,F#7,E,Bm,F#m,C#m,F#7,F#m7/B,B9,F#m7/B,B9,E,Bm,F#m,C#m,F#7,F#m7/B,B9,F#m7/B,B9,E,E,E,Bm6,C#m,F#7,C#m,F#7,E,Bm,F#m,C#m,F#7,F#m7/B,B9,F#m7/B,B9,E,E,E,Bm6,C#m,F#7,C#m,F#7,C#m7,F#,A,E"
Shes A Woman,"E7,D7,A,A,D7,A,A,D7,A,D7,D7,A,D7,A,E7,D7,A,D7,A,E7,A,D7,A,A,D7,A,D7,D7,A,D7,A,E7,D7,A,D7,A,E7,C#m,F#m,C#m,D,E,A,D7,A,A,D7,A,D7,D7,A,D7,A,E7,D7,A,D7,A,E7,C#m,F#m,C#m,D,E,A,D7,A,A,D7,A,D7,D7,A,D7,A,E7,D7,A,D7,A,E7,A,D7,A,D7,A,D7,A,D7"
She Said She Said,"E7,D,A,E7,D,A,E7,D,A,E7,D,A,E7,E7,D,A,E7,E7,D,A,E7,D,A,E7,D,A,E7,D,A,E7,E7,D,A,E7,E7,D,E7,D,E7,Bm,E7,A,E7,A,E7,D,A,E7,D,A,E7,D,A,E7,D,A,E7,E7,D,A,E7,E7,D,E7,D,E7,Bm,E7,A,E7,A,E7,D,A,E7,D,A,E7,D,A,E7,D,A,E7,E7,D,A,E7,E7"
Penny Lane,"B,B/A#,G#m7,B/F#,C#m7,F#,B,B/A#,G#m7,B/F#,Bm7,G#m7b5,Gmaj7,F#sus4,F#,F#sus4,F#,B,B/A#,G#m7,B/F#,C#m7,F#,B,B/A#,G#m7,B/F#,Bm7,G#m7b5,Gmaj7,F#sus4,F#,E,A,A/C#,D,A,A/C#,D,F#,B,B/A#,G#m7,B/F#,C#m7,F#,B,B/A#,G#m7,B/F#,Bm7,G#m7b5,Gmaj7,F#sus4,F#,F#sus4,F#,B,B/A#,G#m7,B/F#,C#m7,F#,B,B/A#,G#m7,B/F#,Bm7,G#m7b5,Gmaj7,F#sus4,F#,E,A,A/C#,D,A,A/C#,D,F#,B,B/A#,G#m7,B/F#,C#m7,F#,B,B/A#,G#m7,B/F#,Bm7,G#m7b5,Gmaj7,F#sus4,F#,F#sus4,F#,B,B/A#,G#m7,B/F#,C#m7,F#,B,B/A#,G#m7,B/F#,Bm7,G#m7b5,Gmaj7,F#sus4,F#,E,A,A/C#,D,A,A/C#,D,F#,B,B/D#,E,B,B/D#,E,B"
Paperback Writer,"G7,G7,G7,G7,C,G7,G7,G7,G7,C,G7,G7,G7,G7,C,G7,G7,G7,G7,G7,C,G7"
Michelle,"F,Bbm7,Eb6,Bdim7/D,C,Bdim7,C,F,Bbm7,Eb6,Bdim7/D,Bdim7,C,Bdim7,C,Fm,Ab7,Db,C7,Fm,Fm/C,Caug,Fm7,Dm7b5/F,Bbm/F,C,F,Bbm7,Eb6,Ddim,Bdim7,C,Bdim7,C,Fm,Ab7,Db,C7,Fm,Fm/C,Caug,Fm7,Dm7b5/F,Bbm/F,C,Fm,Ab7,Db,C7,Fm,Fm/C,Caug,Fm7,Dm7b5/F,Bbm/F,C,F,Bbm7,Eb6,Ddim,Bdim7,C,Bdim7,C,F,Bbm7,C,Fm,C,F"
Memphis Tennessee,"C,F,C,C,C,C,C,F,F,C,Bb,C,F,C,C,C,C,F,F,C,Bb,C,F,C,C,C,C,F,F,C,Bb,C,F,C,F,C,Bb,C,F,C,C,C,C,F,F,C,Bb,C,F,F"
Ive Got A Feeling,"A,D,A,D,A,D,A,D,A,D,A,D,A,D,A,A7,E,G,D,A,A,D,A,D,A,D,A,D,A,D,A,A7,E,G,D,A,A,E7,G7,D,D,A,A,D,A,D,A,D,A,D,A,D,A,D,A,A7,E,G,D,A,A,D,A,D,A,D,A,D,A,D,A,D,A,D,A,D,A,D"
Its Only Love,"G,Em,G,Em,G,Bm,F,C,Dsus4,D,Dsus2,D,Daug,G,Bm,F,C,Dsus4,D,Dsus2,D,Daug,C,D,G,Em,F,D,G,Em,F,D,C,D,G,Bm,F,C,Dsus4,D,Dsus2,D,Daug,G,Bm,F,C,Dsus4,D,Dsus2,D,Daug,C,D,G,Em,F,D,G,Em,F,D,C,D,C,D,G,Em,G,Em,G,Em,G,F,G,Em,Bm,F,C,Dsus4,D,Dsus2,Daug"
